"Luzern","NEUTRAL","3069"
"Switzerland","POSITIVE","2246"
"Uster","POSITIVE","8"
"Winterthur","POSITIVE","83"
"Sursee","POSITIVE","3"
"Saanen","NEUTRAL","74"
"Baden","NEUTRAL","1398"
"Meilen","NEUTRAL","8"
"Svajcarska","NEUTRAL","4"
"Waldenburg","NEUTRAL","659"
"Schleitheim","NEUTRAL","2"
"Willisau","NEUTRAL","17"
"Frauenfeld","NEUTRAL","457"
"スイス","NEUTRAL","21"
"Tafers","NEUTRAL","2"
"Biel","POSITIVE","5"
"Lausanne","NEUTRAL","395"
"Sarnen","POSITIVE","1"
"Buchs","NEUTRAL","17"
"Zurigo","POSITIVE","3"
"Swiss","NEUTRAL","1766"
"Thun","NEUTRAL","584"
"Bad Zurzach","POSITIVE","2"
"Bülach","POSITIVE","21"
"Horgen","POSITIVE","1"
"Arbon","NEUTRAL","9"
"Stans","NEUTRAL","63"
"Kreuzlingen","NEUTRAL","27"
"Schwyz","NEUTRAL","52"
"Sankt Gallen","NEUTRAL","533"
"Chur","NEUTRAL","1213"
"Altdorf","POSITIVE","2"
"Brig","POSITIVE","1"
"Suhr","NEUTRAL","2"
"Romanshorn","NEUTRAL","22"
"Schweiz","POSITIVE","2516"
"Switzerland","NEGATIVE","131"
"Winterthur","NEGATIVE","3"
"Aigle","NEUTRAL","1"
"Geneva","NEUTRAL","214"
"Zürich","POSITIVE","1101"
"Schmerikon","NEUTRAL","3"
"St. Gallen","POSITIVE","206"
"Delémont","NEUTRAL","3"
"Suiza","NEUTRAL","17"
"Brugg","NEUTRAL","51"
"Interlaken","NEUTRAL","435"
"Bremgarten","NEUTRAL","69"
"Hinwil","NEUTRAL","3"
"Biel/Bienne","POSITIVE","11"
"Zuerich","NEUTRAL","377"
"Fribourg","POSITIVE","3"
"CH","POSITIVE","115"
"Olten","NEUTRAL","418"
"Schweiz","NEGATIVE","113"
"Zofingen","NEUTRAL","147"
"Liestal","NEUTRAL","319"
"Suisse","POSITIVE","13"
"Monthey","NEUTRAL","2"
"Sissach","POSITIVE","2"
"Glarus","NEUTRAL","50"
"Lucerne","NEUTRAL","413"
"Altdorf","NEUTRAL","125"
"Svizzera","NEUTRAL","13"
"Rheinfelden","POSITIVE","6"
"Aarau","POSITIVE","25"
"Evolène","NEUTRAL","1"
"Affoltern am Albis","NEUTRAL","4"
"Laufenburg","NEUTRAL","10"
"Luzern","POSITIVE","73"
"Dielsdorf","NEUTRAL","8"
"St. Gallen","NEGATIVE","5"
"Svizra","NEUTRAL","5"
"Baden","POSITIVE","41"
"Pfäffikon","NEUTRAL","10"
"Lenzburg","NEUTRAL","1040"
"Zürich","NEUTRAL","37587"
"Frutigen","NEUTRAL","48"
"Waldenburg","POSITIVE","7"
"Frauenfeld","POSITIVE","6"
"Willisau","POSITIVE","2"
"スイス","POSITIVE","3"
"Schüpfheim","NEUTRAL","16"
"Appenzell","NEUTRAL","18"
"Lausanne","POSITIVE","4"
"CH","NEGATIVE","17"
"Swiss","POSITIVE","10"
"Bienne","NEUTRAL","2"
"Basel","NEUTRAL","12294"
"Thun","POSITIVE","47"
"Marly","NEUTRAL","3"
"Samedan","NEUTRAL","2"
"Suisse","NEGATIVE","1"
"Weinfelden","NEUTRAL","45"
"Visp","NEUTRAL","60"
"Bellinzona","NEUTRAL","81"
"Stans","POSITIVE","2"
"Aarau","NEGATIVE","2"
"Kreuzlingen","POSITIVE","1"
"Sankt Gallen","POSITIVE","14"
"Chur","POSITIVE","47"
"Luzern","NEGATIVE","3"
"Bern","NEUTRAL","12196"
"Zurich","NEUTRAL","6503"
"Leuk","NEUTRAL","2"
"Herisau","NEUTRAL","109"
"Waldenburg","NEGATIVE","1"
"Solothurn","POSITIVE","9"
"Willisau","NEGATIVE","1"
"スイス","NEGATIVE","1"
"Confoederatio Helvetica","NEUTRAL","6"
"Schenkon","NEUTRAL","152"
"Basilea","NEUTRAL","1"
"Berna","NEUTRAL","2"
"Scuol","NEUTRAL","11"
"Suiza","POSITIVE","2"
"Thun","NEGATIVE","2"
"Interlaken","POSITIVE","2"
"Bremgarten","POSITIVE","1"
"Zuerich","POSITIVE","35"
"Olten","POSITIVE","18"
"Chur","NEGATIVE","1"
"Suíça","NEUTRAL","62"
"Zwitserland","NEUTRAL","5"
"Wangen an der Aare","NEUTRAL","4"
"Zofingen","POSITIVE","2"
"Hochdorf","NEUTRAL","14"
"Steckborn","NEUTRAL","3"
"Geneva","NEGATIVE","1"
"Lucerne","POSITIVE","10"
"Glarus","POSITIVE","2"
"Amden","NEUTRAL","10"
"Uster","NEUTRAL","228"
"Switzerland","NEUTRAL","40443"
"Winterthur","NEUTRAL","1951"
"Sursee","NEUTRAL","65"
"Laufenburg","POSITIVE","5"
"Dielsdorf","POSITIVE","1"
"Wengen","NEUTRAL","4"
"Neuchâtel","POSITIVE","1"
"Solothurn","NEUTRAL","592"
"Lenzburg","POSITIVE","61"
"Biel","NEUTRAL","206"
"Frutigen","POSITIVE","1"
"Sarnen","NEUTRAL","112"
"Arth","NEUTRAL","1"
"Zurigo","NEUTRAL","145"
"Lugano","NEUTRAL","56"
"Zuerich","NEGATIVE","4"
"Bad Zurzach","NEUTRAL","36"
"Genf","NEUTRAL","32"
"Olten","NEGATIVE","2"
"Bülach","NEUTRAL","291"
"Gersau","NEUTRAL","3"
"Arlesheim","NEUTRAL","18"
"Horgen","NEUTRAL","9"
"Schaffhausen","POSITIVE","68"
"Basel","POSITIVE","347"
"Weinfelden","POSITIVE","4"
"Lucerne","NEGATIVE","1"
"Brig","NEUTRAL","884"
"Schweiz","NEUTRAL","39068"
"Isvicre","NEUTRAL","2"
"Muri","NEUTRAL","2"
"Bulle","POSITIVE","1"
"Helvetia","NEUTRAL","11"
"Bern","POSITIVE","342"
"Zurich","POSITIVE","1043"
"Zürich","NEGATIVE","30"
"Herisau","POSITIVE","17"
"Genève","NEUTRAL","86"
"Laufen","NEUTRAL","11"
"Neuchâtel","NEUTRAL","120"
"St. Gallen","NEUTRAL","1912"
"Wittnau","NEUTRAL","3"
"Schenkon","POSITIVE","1"
"Geneve","NEUTRAL","11"
"Basel","NEGATIVE","16"
"Biel/Bienne","NEUTRAL","177"
"Fribourg","NEUTRAL","805"
"Poschiavo","NEUTRAL","1"
"CH","NEUTRAL","2326"
"Schaffhausen","NEUTRAL","2140"
"Suisse","NEUTRAL","376"
"Sissach","NEUTRAL","3"
"Einsiedeln","NEUTRAL","67"
"Romanshorn","POSITIVE","1"
"Rheinfelden","NEUTRAL","106"
"Bern","NEGATIVE","18"
"İsviçre","NEUTRAL","1"
"Zurich","NEGATIVE","9"
"Aarau","NEUTRAL","683"
"Zermatt","NEUTRAL","42"
"Herisau","NEGATIVE","1"
"Lauterbrunnen","NEUTRAL","1"
