"Luzern","NEUTRAL","2615"
"Uster","POSITIVE","11"
"Switzerland","POSITIVE","1988"
"Winterthur","POSITIVE","57"
"Sursee","POSITIVE","2"
"Saanen","NEUTRAL","61"
"Baden","NEUTRAL","1022"
"Meilen","NEUTRAL","11"
"Svajcarska","NEUTRAL","7"
"Waldenburg","NEUTRAL","904"
"Schleitheim","NEUTRAL","3"
"Willisau","NEUTRAL","21"
"Frauenfeld","NEUTRAL","446"
"スイス","NEUTRAL","31"
"Tafers","NEUTRAL","1"
"Biel","POSITIVE","2"
"Lausanne","NEUTRAL","390"
"Buchs","NEUTRAL","27"
"Swiss","NEUTRAL","1356"
"Thun","NEUTRAL","342"
"Bülach","POSITIVE","14"
"Arbon","NEUTRAL","20"
"Stans","NEUTRAL","77"
"Schwyz","NEUTRAL","72"
"Kreuzlingen","NEUTRAL","19"
"Sankt Gallen","NEUTRAL","698"
"Chur","NEUTRAL","893"
"Brig","POSITIVE","2"
"Schweiz","POSITIVE","1918"
"Switzerland","NEGATIVE","98"
"Romanshorn","NEUTRAL","27"
"Winterthur","NEGATIVE","4"
"Geneva","NEUTRAL","208"
"Solothurn","NEGATIVE","1"
"Zürich","POSITIVE","1043"
"Genève","POSITIVE","3"
"Schmerikon","NEUTRAL","5"
"Laufen","POSITIVE","1"
"St. Gallen","POSITIVE","363"
"Delémont","NEUTRAL","2"
"Suiza","NEUTRAL","15"
"Brugg","NEUTRAL","33"
"Interlaken","NEUTRAL","454"
"Bülach","NEGATIVE","2"
"Bremgarten","NEUTRAL","28"
"Biel/Bienne","POSITIVE","15"
"Zuerich","NEUTRAL","263"
"Fribourg","POSITIVE","6"
"CH","POSITIVE","140"
"Olten","NEUTRAL","379"
"Schweiz","NEGATIVE","78"
"Zofingen","NEUTRAL","120"
"Liestal","NEUTRAL","336"
"Suisse","POSITIVE","11"
"Glarus","NEUTRAL","39"
"Lucerne","NEUTRAL","506"
"Einsiedeln","POSITIVE","1"
"Altdorf","NEUTRAL","170"
"Svizzera","NEUTRAL","14"
"Rheinfelden","POSITIVE","2"
"Aarau","POSITIVE","24"
"Affoltern am Albis","NEUTRAL","3"
"Laufenburg","NEUTRAL","20"
"Dielsdorf","NEUTRAL","6"
"Luzern","POSITIVE","51"
"St. Gallen","NEGATIVE","20"
"Svizra","NEUTRAL","1"
"Baden","POSITIVE","54"
"Pfäffikon","NEUTRAL","2"
"Lenzburg","NEUTRAL","464"
"Zürich","NEUTRAL","35826"
"Frutigen","NEUTRAL","30"
"Waldenburg","POSITIVE","13"
"Frauenfeld","POSITIVE","3"
"Willisau","POSITIVE","1"
"スイス","POSITIVE","4"
"Suïssa","NEUTRAL","4"
"Schüpfheim","NEUTRAL","8"
"Appenzell","NEUTRAL","15"
"Lausanne","POSITIVE","6"
"CH","NEGATIVE","14"
"Swiss","POSITIVE","1"
"Bienne","NEUTRAL","1"
"Thun","POSITIVE","46"
"Basel","NEUTRAL","11241"
"Weinfelden","NEUTRAL","42"
"Visp","NEUTRAL","158"
"Bellinzona","NEUTRAL","70"
"Flüelen","NEUTRAL","1"
"Kreuzlingen","POSITIVE","2"
"Sankt Gallen","POSITIVE","22"
"Chur","POSITIVE","40"
"Bern","NEUTRAL","12032"
"Zurich","NEUTRAL","6901"
"Leuk","NEUTRAL","2"
"Baden","NEGATIVE","4"
"Geneva","POSITIVE","2"
"Herisau","NEUTRAL","159"
"Raron","NEUTRAL","4"
"Solothurn","POSITIVE","11"
"Confoederatio Helvetica","NEUTRAL","21"
"Schenkon","NEUTRAL","316"
"Basilea","NEUTRAL","2"
"Neuchatel","NEUTRAL","1"
"Scuol","NEUTRAL","6"
"Berna","NEUTRAL","10"
"Thun","NEGATIVE","2"
"Interlaken","POSITIVE","2"
"Zuerich","POSITIVE","25"
"Olten","POSITIVE","16"
"Chur","NEGATIVE","2"
"Suíça","NEUTRAL","23"
"Wangen an der Aare","NEUTRAL","5"
"Zwitserland","NEUTRAL","2"
"Zofingen","POSITIVE","1"
"Liestal","POSITIVE","2"
"Hochdorf","NEUTRAL","14"
"Steckborn","NEUTRAL","27"
"Lucerne","POSITIVE","6"
"Glarus","POSITIVE","1"
"Amden","NEUTRAL","3"
"Uster","NEUTRAL","265"
"Switzerland","NEUTRAL","41133"
"Winterthur","NEUTRAL","1711"
"Sursee","NEUTRAL","60"
"Laufenburg","POSITIVE","2"
"Wengen","NEUTRAL","14"
"Neuchâtel","POSITIVE","2"
"Solothurn","NEUTRAL","448"
"Pfäffikon","POSITIVE","2"
"Lenzburg","POSITIVE","23"
"Andelfingen","NEUTRAL","2"
"Biel","NEUTRAL","228"
"Sarnen","NEUTRAL","97"
"Arth","NEUTRAL","1"
"Zurigo","NEUTRAL","114"
"Appenzell","POSITIVE","1"
"Lugano","NEUTRAL","45"
"Zuerich","NEGATIVE","3"
"Bad Zurzach","NEUTRAL","20"
"Genf","NEUTRAL","51"
"Bülach","NEUTRAL","369"
"Gersau","NEUTRAL","5"
"Arlesheim","NEUTRAL","10"
"Schaffhausen","POSITIVE","65"
"Basel","POSITIVE","386"
"Horgen","NEUTRAL","6"
"Weinfelden","POSITIVE","5"
"Visp","POSITIVE","2"
"Lucerne","NEGATIVE","1"
"Brig","NEUTRAL","512"
"Schweiz","NEUTRAL","46814"
"Laufenburg","NEGATIVE","1"
"Bern","POSITIVE","292"
"Zurich","POSITIVE","845"
"Leuk","POSITIVE","1"
"Zürich","NEGATIVE","53"
"Herisau","POSITIVE","18"
"Gränichen","NEUTRAL","5"
"Genève","NEUTRAL","127"
"Laufen","NEUTRAL","15"
"Neuchâtel","NEUTRAL","111"
"St. Gallen","NEUTRAL","2339"
"Wittnau","NEUTRAL","4"
"Schenkon","POSITIVE","4"
"Geneve","NEUTRAL","4"
"Basel","NEGATIVE","17"
"Biel/Bienne","NEUTRAL","272"
"Fribourg","NEUTRAL","739"
"Poschiavo","NEUTRAL","1"
"CH","NEUTRAL","1795"
"Schaffhausen","NEUTRAL","2049"
"Suisse","NEUTRAL","413"
"Sissach","NEUTRAL","3"
"Einsiedeln","NEUTRAL","68"
"Romanshorn","POSITIVE","3"
"Rheinfelden","NEUTRAL","107"
"Bern","NEGATIVE","26"
"Zurich","NEGATIVE","16"
"İsviçre","NEUTRAL","10"
"Hochdorf","POSITIVE","1"
"Aarau","NEUTRAL","791"
"Zermatt","NEUTRAL","64"
