"Luzern","NEUTRAL","5"
"Switzerland","POSITIVE","543"
"Porrentruy","NEUTRAL","16"
"Winterthur","POSITIVE","1"
"Baden","NEUTRAL","7"
"Frauenfeld","NEUTRAL","1"
"スイス","NEUTRAL","21"
"Lausanne","NEUTRAL","8355"
"Swiss","NEUTRAL","3054"
"Lugano","POSITIVE","13"
"Thun","NEUTRAL","1"
"Genf","POSITIVE","3"
"Chur","NEUTRAL","2"
"Sankt Gallen","NEUTRAL","2"
"Switzerland","NEGATIVE","132"
"Schweiz","POSITIVE","23"
"Aigle","NEUTRAL","165"
"Geneva","NEUTRAL","5539"
"Zürich","POSITIVE","17"
"Genève","POSITIVE","285"
"La Sarraz","NEUTRAL","2"
"Delémont","NEUTRAL","74"
"Suiza","NEUTRAL","51"
"Lugano","NEGATIVE","3"
"Genf","NEGATIVE","2"
"Interlaken","NEUTRAL","1"
"Brugg","NEUTRAL","2"
"Geneve","POSITIVE","11"
"Fribourg","POSITIVE","24"
"Zuerich","NEUTRAL","2"
"CH","POSITIVE","6"
"Bâle","NEUTRAL","22"
"Schweiz","NEGATIVE","6"
"Monthey","NEUTRAL","176"
"Suisse","POSITIVE","710"
"Lucerne","NEUTRAL","12"
"Svizzera","NEUTRAL","5"
"Genève","NEGATIVE","85"
"Laufenburg","NEUTRAL","1"
"Baden","POSITIVE","2"
"Zürich","NEUTRAL","408"
"Lenzburg","NEUTRAL","1"
"Geneve","NEGATIVE","4"
"Suïssa","NEUTRAL","2"
"スイス","POSITIVE","1"
"Lausanne","POSITIVE","112"
"CH","NEGATIVE","2"
"Ginevra","NEUTRAL","1"
"Bienne","NEUTRAL","296"
"Swiss","POSITIVE","7"
"Saint-Maurice","NEGATIVE","1"
"Marly","NEUTRAL","384"
"Basel","NEUTRAL","170"
"Suisse","NEGATIVE","197"
"Visp","NEUTRAL","7"
"Bellinzona","NEUTRAL","15"
"Renens","NEUTRAL","10"
"Chur","POSITIVE","1"
"Bulle","NEUTRAL","113"
"Bern","NEUTRAL","231"
"Zurich","NEUTRAL","451"
"Geneva","POSITIVE","91"
"Payerne","NEUTRAL","5"
"Lausanne","NEGATIVE","15"
"Delémont","POSITIVE","6"
"Swiss","NEGATIVE","1"
"Berna","NEUTRAL","14"
"Suíça","NEUTRAL","7"
"Monthey","POSITIVE","3"
"Geneva","NEGATIVE","38"
"Svizzera","POSITIVE","1"
"Switzerland","NEUTRAL","23072"
"Winterthur","NEUTRAL","13"
"Neuchâtel","POSITIVE","5"
"Solothurn","NEUTRAL","1"
"Biel","NEUTRAL","2"
"Zurigo","NEUTRAL","2"
"Lugano","NEUTRAL","1412"
"Genf","NEUTRAL","308"
"Marly","POSITIVE","6"
"Le Locle","NEUTRAL","23"
"Schweiz","NEUTRAL","1307"
"Швейцария","NEUTRAL","1"
"Helvetia","NEUTRAL","35"
"Zurich","POSITIVE","12"
"Bern","POSITIVE","2"
"Zürich","NEGATIVE","3"
"Genève","NEUTRAL","20563"
"Neuchâtel","NEUTRAL","307"
"St. Gallen","NEUTRAL","6"
"Geneve","NEUTRAL","1248"
"Marly","NEGATIVE","1"
"Biel/Bienne","NEUTRAL","24"
"Conthey","NEUTRAL","16"
"Fribourg","NEUTRAL","730"
"CH","NEUTRAL","499"
"Saint-Maurice","NEUTRAL","35"
"Schaffhausen","NEUTRAL","2"
"Suisse","NEUTRAL","29432"
"Aarau","NEUTRAL","4"
"Zermatt","NEUTRAL","1"
